Run,Generation,Best X Value,Best Fitness Value
1,0,[ 0.46296672  0.84248861 -0.07013104  0.57026698  0.28372828 -0.0599413 ],0.6397421151142108
1,1,[ 0.48889823  0.89018831 -0.05626615  0.57116684  0.21462132 -0.04602715],0.6292538745894497
1,2,[ 0.3903553   0.83685782 -0.01085065  0.70559024  0.26092501 -0.04518056],0.5851855627922644
1,3,[ 0.3903553   0.83685782 -0.01085065  0.70559024  0.26092501 -0.04518056],0.5851855627922644
1,4,[ 0.3903553   0.83685782 -0.01085065  0.70559024  0.26092501 -0.04518056],0.5851855627922644
1,5,[ 0.39553413  1.          0.02881412  0.63976953  0.30635231 -0.03581529],0.5788379694918305
1,6,[ 0.39553413  1.          0.02881412  0.63976953  0.30635231 -0.03581529],0.5788379694918305
1,7,[ 0.35674444  0.95635592  0.03377456  0.77608407  0.35206898 -0.03689272],0.5663615956274803
1,8,[ 0.35674444  0.95635592  0.03377456  0.77608407  0.35206898 -0.03689272],0.5663615956274803
1,9,[ 0.35674444  0.95635592  0.03377456  0.77608407  0.35206898 -0.03689272],0.5663615956274803
1,10,[ 0.23861311  1.          0.12531618  0.76237283  0.22681948 -0.03648237],0.5590008263216953
1,11,[ 0.20651897  0.80632415  0.20324314  0.83591786  0.51247306 -0.0420638 ],0.5355583511838544
1,12,[ 0.20651897  0.80632415  0.20324314  0.83591786  0.51247306 -0.0420638 ],0.5355583511838544
1,13,[ 0.20651897  0.80632415  0.20324314  0.83591786  0.51247306 -0.0420638 ],0.5355583511838544
1,14,[ 0.18675463  0.6635759   0.34822707  0.658458    0.39006357 -0.02528068],0.5294799521826318
1,15,[ 0.2017827   0.74842902  0.40603595  0.7186568   0.32814694 -0.02905486],0.5279160025251693
1,16,[ 0.1055518   0.59702795  0.30034155  0.62847811  0.37812153 -0.03164553],0.5246756818851163
1,17,[ 0.1055518   0.59702795  0.30034155  0.62847811  0.37812153 -0.03164553],0.5246756818851163
1,18,[ 0.12181657  0.64867502  0.47766631  0.86613182  0.44632636 -0.0342877 ],0.5189508323587073
1,19,[ 0.12181657  0.64867502  0.47766631  0.86613182  0.44632636 -0.0342877 ],0.5189508323587073
1,20,[ 0.12181657  0.64867502  0.47766631  0.86613182  0.44632636 -0.0342877 ],0.5189508323587073
1,21,[ 0.12181657  0.64867502  0.47766631  0.86613182  0.44632636 -0.0342877 ],0.5189508323587073
1,22,[-0.01976363  0.69014468  0.46185334  0.85240519  0.45100279 -0.03010722],0.5176047791765598
1,23,[-0.02657967  0.74152498  0.56956995  0.82962753  0.55717911 -0.02257763],0.5160887504660541
1,24,[-0.06073181  0.73529316  0.64357674  0.84905718  0.48182339 -0.03388969],0.5138780862429743
1,25,[-0.06073181  0.73529316  0.64357674  0.84905718  0.48182339 -0.03388969],0.5138780862429743
1,26,[-0.06073181  0.73529316  0.64357674  0.84905718  0.48182339 -0.03388969],0.5138780862429743
1,27,[-0.06073181  0.73529316  0.64357674  0.84905718  0.48182339 -0.03388969],0.5138780862429743
1,28,[-0.03437327  0.69828637  0.71983921  0.89479829  0.50255365 -0.01935878],0.5136111235007197
1,29,[-0.03437327  0.69828637  0.71983921  0.89479829  0.50255365 -0.01935878],0.5136111235007197
1,30,[-0.04463085  0.5551649   0.68001927  0.9213374   0.46836288 -0.03357032],0.5106801442651802
1,31,[-0.04463085  0.5551649   0.68001927  0.9213374   0.46836288 -0.03357032],0.5106801442651802
