Agent_ID,Kick_Time,Bearing_To_Focal,vx,vy
5,27.2,2.64285187,-0.037,0.0516
1,27.2,2.693381211,-0.0394,0.0604
2,27.2,2.887642269,-0.0597,0.0592
4,27.2,3.170486344,-0.0479,0.0804
3,28.2,0.0,-0.1326,0.0632
5,28.2,1.687670164,-0.0661,0.0501
1,28.2,2.807508325,-0.104,0.0407
2,28.2,3.417431082,-0.1235,0.0317
4,28.2,5.617293691,-0.0065,0.0205
3,29.36,0.0,-0.1648,-0.0042
2,29.36,0.817907032,-0.0992,0.0237
5,29.36,0.817907032,-0.15,-0.0162
1,29.36,3.941074393,-0.1379,-0.0665
4,29.36,5.875874171,-0.132,0.0018
3,30.04,0.0,-0.0015,-0.0586
5,30.04,2.324708836,-0.0257,-0.0582
2,30.04,4.382091626,-0.023,-0.0993
1,30.04,5.688710302,0.0867,-0.0526
4,30.04,5.688710302,-0.0415,-0.0535
3,30.96,0.0,0.0824,-0.0441
4,30.96,1.16217785,0.0537,0.038
5,30.96,2.855830447,0.0011,-0.0297
2,30.96,3.976646934,0.0528,-0.0594
1,30.96,5.14322854,0.0606,-0.0712
3,32.68,0.0,0.136,0.0843
4,32.68,2.603333695,0.0264,0.0887
5,32.68,3.123478693,0.1744,0.0578
1,32.68,4.939260498,0.1313,0.0445
2,32.68,5.013378955,0.1892,0.0825
3,33.64,0.0,0.0198,0.0176
4,33.64,2.817418188,-0.0029,0.0021
5,33.64,2.988260265,0.009,0.0268
1,33.64,5.096940279,0.0276,0.0415
2,33.64,5.516040694,0.0309,0.0385
3,34.88,0.0,-0.0355,-0.0218
2,34.88,0.731245552,-0.0324,0.0277
1,34.88,2.04824674,-0.0933,0.1066
4,34.88,2.04824674,0.049,-0.0074
5,34.88,2.509862749,-0.0504,0.0272
3,35.32,0.0,-0.0457,0.0141
4,35.32,1.128324189,0.0019,0.0062
2,35.32,1.260628266,-0.0664,0.0122
1,35.32,2.19648531,-0.0577,0.016
5,35.32,2.643176453,-0.0326,-0.0082
3,36.0,0.0,-0.098,-0.0362
4,36.0,1.296414375,-0.1036,-0.0261
2,36.0,1.780147839,-0.113,-0.0243
1,36.0,2.404267389,-0.1202,-0.0345
5,36.0,3.15473538,-0.1215,-0.0743
3,36.6,0.0,-0.07,-0.0521
4,36.6,1.037303668,-0.0298,-0.0123
1,36.6,2.856891698,-0.0852,-0.0852
2,36.6,2.880540925,-0.1179,-0.0726
5,36.6,3.595266612,-0.0714,-0.0961
3,37.08,0.0,-0.0112,-0.0782
4,37.08,1.603187229,-0.0695,-0.0825
1,37.08,2.707474334,-0.0202,-0.061
2,37.08,3.455871367,-0.0041,-0.1087
5,37.08,3.930242838,0.0202,-0.0947
3,39.28,0.0,0.0313,-0.1591
4,39.28,2.144289169,-0.0021,-0.1924
5,39.28,2.676300309,0.044,-0.073
1,39.28,4.150104178,0.1027,-0.2205
2,39.28,4.372967217,0.0653,-0.1839
3,40.08,0.0,0.0348,-0.0505
4,40.08,2.038303265,0.0241,-0.0136
5,40.08,2.397891299,0.0035,-0.0014
1,40.08,3.021914164,0.0328,-0.0267
2,40.08,3.035199799,0.0182,-0.0067
3,41.92,0.0,0.0897,0.0093
5,41.92,0.695185204,0.2136,-0.0275
4,41.92,2.395919209,0.104,-0.0536
2,41.92,3.553925833,0.0527,-0.0237
1,41.92,5.968331195,0.1491,-0.0068
3,42.44,0.0,0.0471,-0.0031
1,42.44,0.456580589,0.0603,0.039
5,42.44,0.745419476,0.0837,0.0346
4,42.44,1.64741373,0.076,0.0162
2,42.44,3.429978631,0.0223,-0.0009
3,43.28,0.0,0.0793,0.0533
1,43.28,1.195304466,0.0646,0.1322
5,43.28,1.300464312,0.0452,0.1467
4,43.28,1.526361776,0.0882,0.1185
2,43.28,2.789676557,0.1159,0.1014
3,44.0,0.0,0.018,0.1026
1,44.0,1.595737697,-0.0276,0.1361
5,44.0,1.668380129,-0.0471,0.1248
4,44.0,1.869719797,-0.0381,0.1534
2,44.0,2.197393974,0.029,0.1443
3,44.68,0.0,-0.0285,0.0941
5,44.68,2.057423005,-0.0991,0.0727
1,44.68,2.071851627,-0.0968,0.0849
4,44.68,2.305635205,-0.0957,0.0594
2,44.68,2.45382549,-0.0501,0.0866
3,45.12,0.0,-0.0677,0.0453
1,45.12,2.255568798,-0.0796,0.0167
5,45.12,2.297490868,-0.0842,-0.0044
4,45.12,2.613285018,-0.0828,-0.0077
2,45.12,2.682588974,-0.0787,0.0289
3,46.32,0.0,-0.1547,-0.0054
5,46.32,2.11638066,-0.0938,-0.0505
1,46.32,2.606024658,-0.147,-0.0628
4,46.32,2.764964841,-0.1238,-0.0427
2,46.32,3.116707601,-0.1453,-0.0421
3,46.88,0.0,-0.0344,0.0026
5,46.88,2.398315157,-0.0168,-0.0462
1,46.88,2.926080436,-0.0356,-0.0256
4,46.88,2.926080436,-0.0092,-0.021
2,46.88,3.394093114,-0.0223,-0.0136
3,47.24,0.0,-0.0088,0.0002
4,47.24,2.990309875,-0.0031,-0.0058
1,47.24,3.354436423,-0.0135,-0.0344
2,47.24,3.810531385,-0.0075,-0.0287
5,47.24,3.892121235,-0.0172,-0.058
3,48.24,0.0,-0.0212,-0.0735
4,48.24,2.950615491,-0.0097,-0.0728
2,48.24,3.41604124,-0.0281,-0.0475
1,48.24,3.751749628,-0.0101,-0.1053
5,48.24,4.067253886,-0.0224,-0.0892
3,48.84,0.0,0.0171,-0.0709
4,48.84,2.721688167,0.0164,-0.0554
2,48.84,3.904865871,0.0304,-0.0999
1,48.84,4.047640164,0.0368,-0.0866
5,48.84,4.597569972,0.0463,-0.0879
3,49.52,0.0,0.048,-0.082
4,49.52,3.910043287,0.0907,-0.1265
5,49.52,3.910043287,0.0376,-0.0335
2,49.52,4.099923655,0.0613,-0.0857
1,49.52,4.820994221,0.1061,-0.081
3,50.2,0.0,0.0666,-0.0531
5,50.2,3.399020873,0.0375,-0.0481
2,50.2,3.517863762,0.0284,-0.032
1,50.2,5.490874811,0.1027,-0.0326
4,50.2,6.235976315,0.1227,-0.0375
3,50.84,0.0,0.1096,-0.0117
1,50.84,0.092704038,0.1106,0.0361
4,50.84,2.000099399,0.0612,0.0126
2,50.84,3.336612921,0.1101,0.0029
5,50.84,3.928779724,0.1288,-0.0273
3,51.68,0.0,0.1081,0.0875
1,51.68,1.050590891,0.0931,0.1342
4,51.68,2.052913708,0.0937,0.1122
5,51.68,3.469965628,0.1134,0.1078
2,51.68,3.678367523,0.1163,0.0634
3,52.6,0.0,-0.0036,0.1258
1,52.6,1.503038497,-0.0274,0.1531
5,52.6,1.904270679,-0.0172,0.238
