Experiment_ID;Agent_ID;Kick_Time;Orientation_Difference_To_Focal;vx;vy
151;4;23.44;-0.303290041;0.0233;0.0543
151;1;23.44;-0.217250794;0.0411;0.0768
151;3;25.16;0.0;-0.0116;0.1147
151;1;25.16;-0.289613408;-0.0714;0.1735
151;5;25.16;-0.067822615;-0.0215;0.1263
151;2;25.16;0.081858877;-0.0027;0.1426
151;4;25.16;0.579303847;0.0471;0.0908
151;3;25.88;0.0;-0.007;-0.0286
151;2;25.88;-0.127393048;-0.005;-0.0442
151;5;25.88;2.386616039;-0.0305;0.0539
151;1;25.88;2.41552436;-0.0028;0.0053
151;4;25.88;2.638876717;-0.0153;0.0569
151;3;27.2;0.0;-0.0261;0.0822
151;2;27.2;-0.482153254;-0.0597;0.0592
151;5;27.2;-0.314630216;-0.037;0.0516
151;1;27.2;-0.270552838;-0.0394;0.0604
151;4;27.2;-0.229854146;-0.0479;0.0804
151;3;28.2;0.0;-0.1326;0.0632
151;2;28.2;-0.193514511;-0.1235;0.0317
151;1;28.2;-0.07174646;-0.104;0.0407
151;5;28.2;0.203794531;-0.0661;0.0501
151;4;28.2;0.818980159;-0.0065;0.0205
151;3;29.36;0.0;-0.1648;-0.0042
151;1;29.36;-0.423853737;-0.1379;-0.0665
151;5;29.36;-0.082103089;-0.15;-0.0162
151;4;29.36;0.03911544;-0.132;0.0018
151;2;29.36;0.259995233;-0.0992;0.0237
151;3;30.04;0.0;-0.0015;-0.0586
151;1;30.04;-1.051064099;0.0867;-0.0526
151;2;30.04;0.20201605;-0.023;-0.0993
151;5;30.04;0.390238781;-0.0257;-0.0582
151;4;30.04;0.634156152;-0.0415;-0.0535
151;3;30.96;0.0;0.0824;-0.0441
151;4;30.96;-1.107236732;0.0537;0.038
151;2;30.96;0.352749027;0.0528;-0.0594
151;1;30.96;0.37424536;0.0606;-0.0712
151;5;30.96;1.042371252;0.0011;-0.0297
151;3;32.68;0.0;0.136;0.0843
151;4;32.68;-0.726623497;0.0264;0.0887
151;2;32.68;0.143699681;0.1892;0.0825
151;1;32.68;0.228120734;0.1313;0.0445
151;5;32.68;0.234860109;0.1744;0.0578
151;3;33.64;0.0;0.0198;0.0176
151;4;33.64;-1.788207412;-0.0029;0.0021
151;5;33.64;-0.520166299;0.009;0.0268
151;1;33.64;-0.257264348;0.0276;0.0415
151;2;33.64;-0.167831267;0.0309;0.0385
151;3;34.88;0.0;-0.0355;-0.0218
151;4;34.88;-2.440993463;0.049;-0.0074
151;5;34.88;1.045598881;-0.0504;0.0272
151;2;34.88;1.258065446;-0.0324;0.0277
151;1;34.88;1.402544954;-0.0933;0.1066
151;3;35.32;0.0;-0.0457;0.0141
151;5;35.32;-0.545689235;-0.0326;-0.0082
151;2;35.32;-0.117559277;-0.0664;0.0122
151;1;35.32;-0.028767708;-0.0577;0.016
151;4;35.32;1.568893901;0.0019;0.0062
151;3;36.0;0.0;-0.098;-0.0362
151;5;36.0;-0.195007683;-0.1215;-0.0743
151;1;36.0;0.074333372;-0.1202;-0.0345
151;4;36.0;0.107046511;-0.1036;-0.0261
151;2;36.0;0.142022838;-0.113;-0.0243
151;3;36.6;0.0;-0.07;-0.0521
151;5;36.6;-0.291971788;-0.0714;-0.0961
151;1;36.6;-0.14556424;-0.0852;-0.0852
151;2;36.6;0.087895052;-0.1179;-0.0726
151;4;36.6;0.248383283;-0.0298;-0.0123
151;3;37.08;0.0;-0.0112;-0.0782
151;5;37.08;-0.352410746;0.0202;-0.0947
151;2;37.08;-0.104554473;-0.0041;-0.1087
151;1;37.08;0.17752696;-0.0202;-0.061
151;4;37.08;0.557824379;-0.0695;-0.0825
151;3;39.28;0.0;0.0313;-0.1591
151;5;39.28;-0.348180654;0.044;-0.073
151;1;39.28;-0.241631161;0.1027;-0.2205
151;2;39.28;-0.146946133;0.0653;-0.1839
151;4;39.28;0.205165244;-0.0021;-0.1924
151;3;40.08;0.0;0.0348;-0.0505
151;2;40.08;-0.614681538;0.0182;-0.0067
151;5;40.08;-0.586910901;0.0035;-0.0014
151;4;40.08;-0.453649866;0.0241;-0.0136
151;1;40.08;-0.284183187;0.0328;-0.0267
151;3;41.92;0.0;0.0897;0.0093
151;1;41.92;0.148885209;0.1491;-0.0068
151;5;41.92;0.231350792;0.2136;-0.0275
151;2;41.92;0.525927017;0.0527;-0.0237
151;4;41.92;0.57918923;0.104;-0.0536
151;3;42.44;0.0;0.0471;-0.0031
151;1;42.44;-0.639821134;0.0603;0.039
151;5;42.44;-0.457710958;0.0837;0.0346
151;4;42.44;-0.275737396;0.076;0.0162
151;2;42.44;-0.025385764;0.0223;-0.0009
151;3;43.28;0.0;0.0793;0.0533
151;5;43.28;-0.680138065;0.0452;0.1467
151;1;43.28;-0.524490836;0.0646;0.1322
151;4;43.28;-0.339174596;0.0882;0.1185
151;2;43.28;-0.126992742;0.1159;0.1014
151;3;44.0;0.0;0.018;0.1026
151;5;44.0;-0.534547683;-0.0471;0.1248
151;4;44.0;-0.417115414;-0.0381;0.1534
151;1;44.0;-0.373749989;-0.0276;0.1361
151;2;44.0;0.024657073;0.029;0.1443
151;3;44.68;0.0;-0.0285;0.0941
151;4;44.68;-0.721215506;-0.0957;0.0594
151;5;44.68;-0.643785443;-0.0991;0.0727
151;1;44.68;-0.55671025;-0.0968;0.0849
151;2;44.68;-0.230389997;-0.0501;0.0866
151;3;45.12;0.0;-0.0677;0.0453
151;4;45.12;-0.682433494;-0.0828;-0.0077
151;5;45.12;-0.641914063;-0.0842;-0.0044
151;1;45.12;-0.382905348;-0.0796;0.0167
151;2;45.12;-0.237774952;-0.0787;0.0289
151;3;46.32;0.0;-0.1547;-0.0054
151;5;46.32;-0.458985689;-0.0938;-0.0505
151;1;46.32;-0.368849692;-0.147;-0.0628
151;4;46.32;-0.297242043;-0.1238;-0.0427
151;2;46.32;-0.247130411;-0.1453;-0.0421
151;3;46.88;0.0;-0.0344;0.0026
151;5;46.88;-1.297463289;-0.0168;-0.0462
151;4;46.88;-1.233324351;-0.0092;-0.021
151;1;46.88;-0.698868777;-0.0356;-0.0256
151;2;46.88;-0.623079928;-0.0223;-0.0136
151;3;47.24;0.0;-0.0088;0.0002
151;2;47.24;-1.337911825;-0.0075;-0.0287
151;5;47.24;-1.305229444;-0.0172;-0.058
151;1;47.24;-1.219545881;-0.0135;-0.0344
151;4;47.24;-1.102667907;-0.0031;-0.0058
151;3;48.24;0.0;-0.0212;-0.0735
151;1;48.24;-0.18518967;-0.0101;-0.1053
151;4;48.24;-0.148352014;-0.0097;-0.0728
151;5;48.24;-0.034780055;-0.0224;-0.0892
151;2;48.24;0.25339097;-0.0281;-0.0475
151;3;48.84;0.0;0.0171;-0.0709
151;5;48.84;-0.248141169;0.0463;-0.0879
151;1;48.84;-0.165156822;0.0368;-0.0866
151;2;48.84;-0.058736084;0.0304;-0.0999
151;4;48.84;-0.051144675;0.0164;-0.0554
151;3;49.52;0.0;0.048;-0.082
151;1;49.52;-0.389165222;0.1061;-0.081
151;5;49.52;-0.313410034;0.0376;-0.0335
151;4;49.52;-0.092452268;0.0907;-0.1265
151;2;49.52;-0.091321847;0.0613;-0.0857
151;3;50.2;0.0;0.0666;-0.0531
151;4;50.2;-0.376482854;0.1227;-0.0375
151;1;50.2;-0.365721387;0.1027;-0.0326
151;2;50.2;0.171839605;0.0284;-0.032
151;5;50.2;0.235511963;0.0375;-0.0481
151;3;50.84;0.0;0.1096;-0.0117
151;1;50.84;-0.421847999;0.1106;0.0361
151;4;50.84;-0.30939428;0.0612;0.0126
151;2;50.84;-0.132682665;0.1101;0.0029
151;5;50.84;0.102516276;0.1288;-0.0273
151;3;51.68;0.0;0.1081;0.0875
151;1;51.68;-0.28381561;0.0931;0.1342
151;4;51.68;-0.194538988;0.0937;0.1122
151;5;51.68;-0.079619115;0.1134;0.1078
151;2;51.68;0.181362285;0.1163;0.0634
151;3;52.6;0.0;-0.0036;0.1258
151;4;52.6;-0.251697474;-0.0587;0.2039
151;1;52.6;-0.148484097;-0.0274;0.1531
151;5;52.6;-0.043534441;-0.0172;0.238
151;2;52.6;0.053592058;0.0053;0.2121
151;3;53.0;0.0;-0.0303;0.0313
