Run,Generation,Best X Value,Best Fitness Value
1,0,[-0.2295174   0.69919546  0.06098054  0.45080004  0.30750093  0.10972045],0.913855416105671
1,1,[ 0.46634747  0.89843168  0.94275768  0.15084261 -0.17731769 -0.04592785],0.6192301156435683
1,2,[-0.1023154   0.66045653  0.15395211  0.51787274  0.32043736  0.0286531 ],0.5681568239639601
1,3,[ 0.3704949   0.90564355  0.84706069  0.08066887 -0.06007928 -0.05426736],0.5308090234764575
1,4,[ 0.34708768  0.89885177  0.97430858  0.21457689 -0.04054418 -0.05248901],0.5000573768514198
1,5,[ 0.32270738  0.84622489  1.          0.29251801  0.01885327 -0.03969172],0.47916101345369094
1,6,[ 0.31736347  1.          0.83785143  0.05889414  0.05643988 -0.04169458],0.47458731009128996
1,7,[ 0.11375181  1.          1.          0.06146225 -0.10661906 -0.01395118],0.45587289922978824
1,8,[ 0.15173464  1.          0.90223957 -0.03573677 -0.01589686 -0.01405331],0.45223223217764646
1,9,[ 0.04570265  0.91921065  0.9775655  -0.02112009 -0.0204426  -0.02371065],0.439761454430414
1,10,[ 0.04570265  0.91921065  0.9775655  -0.02112009 -0.0204426  -0.02371065],0.439761454430414
1,11,[-0.03276307  0.97083426  1.          0.24049896 -0.04806704 -0.01566195],0.4348171228078779
1,12,[ 0.0336133   0.94950393  0.87750858  0.27689803 -0.04642564 -0.01606833],0.43349115765491375
1,13,[ 0.0336133   0.94950393  0.87750858  0.27689803 -0.04642564 -0.01606833],0.43349115765491375
1,14,[ 0.0336133   0.94950393  0.87750858  0.27689803 -0.04642564 -0.01606833],0.43349115765491375
1,15,[ 0.0336133   0.94950393  0.87750858  0.27689803 -0.04642564 -0.01606833],0.43349115765491375
1,16,[ 0.04204693  1.          1.          0.15676585 -0.02796587 -0.01197872],0.43333666018533046
1,17,[ 0.04204693  1.          1.          0.15676585 -0.02796587 -0.01197872],0.43333666018533046
1,18,[ 0.02509193  1.          1.          0.18455212 -0.05223208 -0.01928715],0.4324003559409888
1,19,[ 0.02509193  1.          1.          0.18455212 -0.05223208 -0.01928715],0.4324003559409888
1,20,[-0.00822728  0.99028415  0.89140113  0.24528173 -0.0130546  -0.01858059],0.43076764184419697
1,21,[-0.00822728  0.99028415  0.89140113  0.24528173 -0.0130546  -0.01858059],0.43076764184419697
1,22,[-0.00822728  0.99028415  0.89140113  0.24528173 -0.0130546  -0.01858059],0.43076764184419697
1,23,[-0.03034039  0.92972532  0.72954384  0.21761513  0.00212154 -0.01206392],0.4296575085561078
1,24,[-0.03034039  0.92972532  0.72954384  0.21761513  0.00212154 -0.01206392],0.4296575085561078
1,25,[-0.03034039  0.92972532  0.72954384  0.21761513  0.00212154 -0.01206392],0.4296575085561078
1,26,[-0.03034039  0.92972532  0.72954384  0.21761513  0.00212154 -0.01206392],0.4296575085561078
1,27,[-0.03034039  0.92972532  0.72954384  0.21761513  0.00212154 -0.01206392],0.4296575085561078
1,28,[-0.03034039  0.92972532  0.72954384  0.21761513  0.00212154 -0.01206392],0.4296575085561078
1,29,[-0.03034039  0.92972532  0.72954384  0.21761513  0.00212154 -0.01206392],0.4296575085561078
1,30,[-0.03034039  0.92972532  0.72954384  0.21761513  0.00212154 -0.01206392],0.4296575085561078
1,31,[ 0.01091431  1.          0.91528614  0.1107909  -0.04479939 -0.01529665],0.42920008623939526
1,32,[ 0.01091431  1.          0.91528614  0.1107909  -0.04479939 -0.01529665],0.42920008623939526
1,33,[ 0.01091431  1.          0.91528614  0.1107909  -0.04479939 -0.01529665],0.42920008623939526
1,34,[ 0.01091431  1.          0.91528614  0.1107909  -0.04479939 -0.01529665],0.42920008623939526
1,35,[ 0.01091431  1.          0.91528614  0.1107909  -0.04479939 -0.01529665],0.42920008623939526
1,36,[ 0.01091431  1.          0.91528614  0.1107909  -0.04479939 -0.01529665],0.42920008623939526
1,37,[ 0.01091431  1.          0.91528614  0.1107909  -0.04479939 -0.01529665],0.42920008623939526
1,38,[ 0.01091431  1.          0.91528614  0.1107909  -0.04479939 -0.01529665],0.42920008623939526
1,39,[ 0.01091431  1.          0.91528614  0.1107909  -0.04479939 -0.01529665],0.42920008623939526
1,40,[ 0.01091431  1.          0.91528614  0.1107909  -0.04479939 -0.01529665],0.42920008623939526
1,41,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,42,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,43,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,44,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,45,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,46,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,47,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,48,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,49,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,50,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,51,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,52,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,53,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,54,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,55,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,56,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,57,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,58,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,59,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,60,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,61,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,62,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,63,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,64,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,65,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,66,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,67,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,68,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,69,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,70,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,71,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,72,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,73,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,74,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,75,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,76,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,77,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,78,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,79,[-0.03885456  0.92547331  0.70230876  0.09800148 -0.00505777 -0.00994137],0.4285723815393664
1,80,"[ 7.22682609e-04  9.71639203e-01  5.89252564e-01  1.60369278e-01
 -3.60716319e-02 -8.42696681e-03]",0.42831740630424453
1,81,"[ 7.22682609e-04  9.71639203e-01  5.89252564e-01  1.60369278e-01
 -3.60716319e-02 -8.42696681e-03]",0.42831740630424453
1,82,"[ 7.22682609e-04  9.71639203e-01  5.89252564e-01  1.60369278e-01
 -3.60716319e-02 -8.42696681e-03]",0.42831740630424453
1,83,"[ 7.22682609e-04  9.71639203e-01  5.89252564e-01  1.60369278e-01
 -3.60716319e-02 -8.42696681e-03]",0.42831740630424453
1,84,"[ 7.22682609e-04  9.71639203e-01  5.89252564e-01  1.60369278e-01
 -3.60716319e-02 -8.42696681e-03]",0.42831740630424453
1,85,"[ 7.22682609e-04  9.71639203e-01  5.89252564e-01  1.60369278e-01
 -3.60716319e-02 -8.42696681e-03]",0.42831740630424453
1,86,"[ 7.22682609e-04  9.71639203e-01  5.89252564e-01  1.60369278e-01
 -3.60716319e-02 -8.42696681e-03]",0.42831740630424453
1,87,"[ 7.22682609e-04  9.71639203e-01  5.89252564e-01  1.60369278e-01
 -3.60716319e-02 -8.42696681e-03]",0.42831740630424453
1,88,"[ 7.22682609e-04  9.71639203e-01  5.89252564e-01  1.60369278e-01
 -3.60716319e-02 -8.42696681e-03]",0.42831740630424453
1,89,"[ 7.22682609e-04  9.71639203e-01  5.89252564e-01  1.60369278e-01
 -3.60716319e-02 -8.42696681e-03]",0.42831740630424453
1,90,"[ 7.22682609e-04  9.71639203e-01  5.89252564e-01  1.60369278e-01
 -3.60716319e-02 -8.42696681e-03]",0.42831740630424453
1,91,"[ 7.22682609e-04  9.71639203e-01  5.89252564e-01  1.60369278e-01
 -3.60716319e-02 -8.42696681e-03]",0.42831740630424453
1,92,"[ 7.22682609e-04  9.71639203e-01  5.89252564e-01  1.60369278e-01
 -3.60716319e-02 -8.42696681e-03]",0.42831740630424453
1,93,"[ 7.22682609e-04  9.71639203e-01  5.89252564e-01  1.60369278e-01
 -3.60716319e-02 -8.42696681e-03]",0.42831740630424453
1,94,"[ 7.22682609e-04  9.71639203e-01  5.89252564e-01  1.60369278e-01
 -3.60716319e-02 -8.42696681e-03]",0.42831740630424453
1,95,"[ 7.22682609e-04  9.71639203e-01  5.89252564e-01  1.60369278e-01
 -3.60716319e-02 -8.42696681e-03]",0.42831740630424453
1,96,"[ 7.22682609e-04  9.71639203e-01  5.89252564e-01  1.60369278e-01
 -3.60716319e-02 -8.42696681e-03]",0.42831740630424453
1,97,"[ 7.22682609e-04  9.71639203e-01  5.89252564e-01  1.60369278e-01
 -3.60716319e-02 -8.42696681e-03]",0.42831740630424453
1,98,"[ 7.22682609e-04  9.71639203e-01  5.89252564e-01  1.60369278e-01
 -3.60716319e-02 -8.42696681e-03]",0.42831740630424453
1,99,"[ 7.22682609e-04  9.71639203e-01  5.89252564e-01  1.60369278e-01
 -3.60716319e-02 -8.42696681e-03]",0.42831740630424453
2,0,[ 0.17042644  0.52373481  0.75122919  0.76592491 -0.2783158  -0.02465982],0.6679305053243448
2,1,[ 0.11687522  0.58846042  0.65619312  0.78556807 -0.1839359   0.0062294 ],0.5682250079174668
