Agent_ID;Kick_Time;Velocity_Agent;Velocity_Focal_Agent3;Velocity_Difference
2;25.16;0.082921836;0.06702621;0.015895625999999996
1;25.16;0.109079762;0.06702621;0.042053551999999994
2;25.88;0.061780426;0.040894701;0.020885725
1;25.88;0.008325228;0.040894701;0.032569473
4;25.88;0.081834908;0.040894701;0.040940207
5;25.88;0.086015404;0.040894701;0.045120703000000005
2;27.2;0.063693742;0.065336462;0.0016427200000000003
4;27.2;0.070899418;0.065336462;0.005562956000000008
1;27.2;0.054632296;0.065336462;0.010704166000000001
5;27.2;0.048101944;0.065336462;0.017234517999999997
2;28.2;0.12750349;0.146891116;0.01938762599999999
1;28.2;0.111680303;0.146891116;0.035210812999999994
5;28.2;0.082941063;0.146891116;0.06395005299999999
4;28.2;0.021505813;0.146891116;0.125385303
1;29.36;0.131980084;0.142115095;0.010135011
5;29.36;0.130062296;0.142115095;0.012052799000000003
4;29.36;0.113803683;0.142115095;0.028311411999999994
2;29.36;0.087923977;0.142115095;0.054191117999999996
5;30.04;0.093561431;0.086204698;0.007356733000000004
4;30.04;0.099571965;0.086204698;0.013367267000000002
1;30.04;0.149129901;0.086204698;0.06292520300000001
2;30.04;0.149895364;0.086204698;0.063690666
1;30.96;0.101627819;0.101585784;4.2034999999995826e-05
2;30.96;0.086385352;0.101585784;0.015200432
4;30.96;0.071505631;0.101585784;0.030080153
5;30.96;0.032304743;0.101585784;0.069281041
1;32.68;0.080602325;0.09302778;0.012425455000000002
5;32.68;0.106818956;0.09302778;0.013791176000000002
2;32.68;0.120002718;0.09302778;0.02697493799999999
4;32.68;0.053805462;0.09302778;0.039222318000000006
5;33.64;0.029448784;0.027595321;0.0018534629999999996
2;33.64;0.051423529;0.027595321;0.023828208000000003
4;33.64;0.00372969;0.027595321;0.023865630999999998
1;33.64;0.051916504;0.027595321;0.024321183000000003
2;34.88;0.034376508;0.033596139;0.000780369000000003
4;34.88;0.039964214;0.033596139;0.006368075000000001
5;34.88;0.04618652;0.033596139;0.012590381000000005
1;34.88;0.114244481;0.033596139;0.080648342
1;35.32;0.136084753;0.10869483;0.027389922999999997
5;35.32;0.076398801;0.10869483;0.032296029000000004
2;35.32;0.153435183;0.10869483;0.044740353
4;35.32;0.014737721;0.10869483;0.09395710900000001
4;36.0;0.15711341;0.153635584;0.003477826000000017
2;36.0;0.169975382;0.153635584;0.016339798000000016
1;36.0;0.183901689;0.153635584;0.030266105000000015
5;36.0;0.209437478;0.153635584;0.05580189400000002
5;36.6;0.199535363;0.145434311;0.05410105199999998
1;36.6;0.200818326;0.145434311;0.05538401499999998
2;36.6;0.230766657;0.145434311;0.08533234599999998
4;36.6;0.053731069;0.145434311;0.09170324200000002
1;37.08;0.133870014;0.164579114;0.03070909999999999
5;37.08;0.201730039;0.164579114;0.037150925
4;37.08;0.224734604;0.164579114;0.060155490000000006
2;37.08;0.226619365;0.164579114;0.06204025099999999
4;39.28;0.087459755;0.073704374;0.013755380999999997
2;39.28;0.088704286;0.073704374;0.01499991199999999
5;39.28;0.038743168;0.073704374;0.034961206
1;39.28;0.110565358;0.073704374;0.036860984
1;40.08;0.052866725;0.076661696;0.023794970999999998
4;40.08;0.034590687;0.076661696;0.042071009
2;40.08;0.024242589;0.076661696;0.052419107000000006
5;40.08;0.004712019;0.076661696;0.071949677
4;41.92;0.063586864;0.049011314;0.014575550000000007
2;41.92;0.031404298;0.049011314;0.017607016000000003
1;41.92;0.081116839;0.049011314;0.032105524999999996
5;41.92;0.117045094;0.049011314;0.06803378
1;42.44;0.138101696;0.090772898;0.04732879799999999
2;42.44;0.042919527;0.090772898;0.047853371000000006
4;42.44;0.149437308;0.090772898;0.058664409999999986
5;42.44;0.174172282;0.090772898;0.08339938400000001
1;43.28;0.17516594;0.113747368;0.06141857199999999
4;43.28;0.175858318;0.113747368;0.06211095000000001
5;43.28;0.18274461;0.113747368;0.068997242
2;43.28;0.183328579;0.113747368;0.06958121099999999
5;44.0;0.185266793;0.144676363;0.04059043000000001
1;44.0;0.192875466;0.144676363;0.04819910299999999
2;44.0;0.204423921;0.144676363;0.059747558000000006
4;44.0;0.219528685;0.144676363;0.074852322
2;44.68;0.147129174;0.144590012;0.0025391620000000115
4;44.68;0.165641056;0.144590012;0.02105104400000002
5;44.68;0.180745405;0.144590012;0.03615539300000001
1;44.68;0.189347872;0.144590012;0.04475786000000001
1;45.12;0.184847631;0.185131459;0.000283827999999986
4;45.12;0.188993774;0.185131459;0.003862315000000005
2;45.12;0.190542126;0.185131459;0.005410667000000008
5;45.12;0.191624741;0.185131459;0.006493281999999989
2;46.32;0.126063531;0.128995182;0.0029316510000000073
1;46.32;0.133210464;0.128995182;0.004215281999999987
4;46.32;0.109130815;0.128995182;0.019864367000000008
5;46.32;0.088775192;0.128995182;0.04021999000000001
2;46.88;0.046642707;0.061603778;0.014961071
1;46.88;0.078301484;0.061603778;0.016697706000000007
4;46.88;0.040940786;0.061603778;0.020662991999999998
5;46.88;0.087785249;0.061603778;0.026181470999999998
4;47.24;0.018267981;0.024450757;0.006182776000000001
2;47.24;0.082399396;0.024450757;0.057948638999999996
1;47.24;0.102650447;0.024450757;0.07819969
5;47.24;0.168046143;0.024450757;0.14359538600000002
4;48.24;0.07344338;0.07649634;0.0030529599999999935
5;48.24;0.09196956;0.07649634;0.01547322000000001
2;48.24;0.055189311;0.07649634;0.021307028999999998
1;48.24;0.105783269;0.07649634;0.029286929000000003
4;48.84;0.09629411;0.121554972;0.025260861999999995
1;48.84;0.156824389;0.121554972;0.03526941700000001
5;48.84;0.165580628;0.121554972;0.04402565600000001
2;48.84;0.17403839;0.121554972;0.05248341799999999
2;49.52;0.154951298;0.1397291;0.015222197999999992
1;49.52;0.196301277;0.1397291;0.056572177
5;49.52;0.074057077;0.1397291;0.065672023
4;49.52;0.228905645;0.1397291;0.089176545
1;50.2;0.158455797;0.125260714;0.033195083000000014
5;50.2;0.08969214;0.125260714;0.03556857399999999
2;50.2;0.062919183;0.125260714;0.06234153099999999
