Agent_ID,Kick_Time,Distance_To_Focal,vx,vy
4,13.92,0.135971835,0.0323,-0.1106
1,13.92,0.142354838,0.0967,-0.082
3,14.64,0.0,0.1326,0.0908
5,14.64,0.078497006,0.1535,0.0471
2,14.64,0.113547963,0.1104,0.0572
1,14.64,0.11601905,0.1472,-0.004
4,14.64,0.196021045,0.1211,-0.0256
3,15.48,0.0,0.0266,0.139
5,15.48,0.045854117,0.0687,0.1501
1,15.48,0.061002705,0.081,0.1491
2,15.48,0.100711171,0.0786,0.14
4,15.48,0.153113847,0.0773,0.1497
3,16.84,0.0,-0.2176,0.0833
1,16.84,0.032190682,-0.1917,0.0981
2,16.84,0.037624061,-0.2232,0.1466
5,16.84,0.053250446,-0.1503,0.1229
4,16.84,0.088107321,-0.1096,0.1152
3,17.4,0.0,-0.0093,-0.0053
5,17.4,0.024399385,-0.0387,0.0045
2,17.4,0.035944958,-0.025,0.0021
1,17.4,0.048075358,-0.0243,-0.0113
4,17.4,0.069802579,-0.0206,0.0122
3,17.92,0.0,-0.0487,-0.024
1,17.92,0.021117765,-0.0205,-0.023
2,17.92,0.02306881,-0.0073,-0.0021
5,17.92,0.044554349,-0.0321,-0.0108
4,17.92,0.057013069,-0.0288,-0.0074
3,19.04,0.0,-0.1064,-0.1504
2,19.04,0.057136066,-0.0718,-0.132
1,19.04,0.058771592,-0.0549,-0.0917
4,19.04,0.069844542,-0.082,-0.1507
5,19.04,0.128590668,-0.0801,-0.0594
3,20.08,0.0,0.0469,-0.1412
4,20.08,0.044024652,0.0376,-0.1136
1,20.08,0.044852871,0.0103,-0.1452
2,20.08,0.073515169,0.0639,-0.1583
