Model,Fitness EA,Weighs,Bias_Mode,Cosine,MSE Kicktime,MSE_Trajectory,Sorted Velocity Criteria
distance_mse_kicktime_results_bias_wall_zone_repulsion_zone,0.43064444731963336,"(-0.022223033587067842, 0.5094054218219479, 0.3808101601238353, 0.07291353437207468, -0.009528612412650347, 0.005119237682423958)",bias_wall_zone_bias_wall_zone_repulsion_zone,17.175200000000014,0.43064444757276105,4.168351568009513,distance
distance_mse_trajectory_results_bias_wall_zone_repulsion_zone,1.0953694607680209,"(0.009625447672053119, 0.24694062663299732, 0.288539215442056, 0.243347755343583, 0.21124955969970508, 0.0002973952096055631)",bias_wall_zone_bias_wall_zone_repulsion_zone,19.800300000000004,0.5314271851551958,1.0953694590818033,distance
distance_cosine_results_bias_wall_zone_alignment_zone,15.669300000000003,"(0.033002507503881263, 0.31896394935890876, 0.5003012749190081, -0.09637487618793296, 0.04899267664991313, 0.002364715380355817)",bias_wall_zone_bias_wall_zone_alignment_zone,15.669300000000003,0.5703067990605886,9.122524650822447,distance
distance_mse_kicktime_results_bias_wall_zone_alignment_zone,0.4272356789136681,"(-0.003052409374965519, 0.526936148628116, 0.36343168199588916, 0.08046471489587473, -0.019708787262039458, -0.006406257843115238)",bias_wall_zone_bias_wall_zone_alignment_zone,19.030499999999986,0.4272356790143678,6.17866536559471,distance
distance_mse_trajectory_results_bias_wall_zone_alignment_zone,1.0581604947065926,"(-0.0001775297621391969, 0.2532934508276476, 0.3470828862166679, 0.2009170398251291, 0.19719968330415324, -0.0013294100642629533)",bias_wall_zone_bias_wall_zone_alignment_zone,19.4818,0.5131429187326789,1.0581604947590888,distance
distance_cosine_results_bias_wall_zone_alignment_domain,15.739800000000006,"(0.04346989685124438, 0.3180594609060377, 0.4707821387054418, -0.10621639672845179, 0.0604535547625076, 0.001018552046316564)",bias_wall_zone_bias_wall_zone_alignment_domain,15.739800000000006,0.60587843755977,7.907282832427097,distance
distance_mse_kicktime_results_bias_wall_zone_alignment_domain,0.42179456736806964,"(0.002706397816929713, 0.5107745139792971, 0.4002106665949754, 0.05719925649436526, -0.02020493311970395, -0.008904231994728555)",bias_wall_zone_bias_wall_zone_alignment_domain,19.71900000000002,0.42179456732521337,9.08437007586243,distance
distance_mse_trajectory_results_bias_wall_zone_alignment_domain,1.0708629092378885,"(0.016272456307270432, 0.23766107767683117, 0.3858817222027774, 0.19163476190671688, 0.16694850941589592, -0.0016014724905081892)",bias_wall_zone_bias_wall_zone_alignment_domain,19.0982,0.5074362021518437,1.0708628925464685,distance
distance_cosine_results_bias_wall_zone_repulsion_alignment_zone,15.746699999999992,"(0.05017871756379481, 0.30252130374662367, 0.5132059802451685, -0.098649900094425, 0.03527915493712241, 0.00016494341286557384)",bias_wall_zone_bias_wall_zone_repulsion_alignment_zone,15.746699999999992,0.5845124432610528,7.069257342149339,distance
distance_mse_kicktime_results_bias_wall_zone_repulsion_alignment_zone,0.43098082458600373,"(-0.02114338949502288, 0.5134060168392245, 0.36110271007732225, 0.0920753748213039, -0.011288915251945583, -0.0009835935151809231)",bias_wall_zone_bias_wall_zone_repulsion_alignment_zone,17.851900000000004,0.43098082407356314,3.6818619541378235,distance
distance_mse_trajectory_results_bias_wall_zone_repulsion_alignment_zone,1.099378246961519,"(0.004982303394351545, 0.25204296994851444, 0.31444129450915903, 0.22723315855640816, 0.20128847419926288, 1.17993923038697e-05)",bias_wall_zone_bias_wall_zone_repulsion_alignment_zone,19.588099999999983,0.5225064594264244,1.0993782468510669,distance
