Run_ID,Velocity,Loss_Function,Model,Fitness
1,bearing,mse_trajectory,bias_wall_zone_alignment_domain,1.453736059299061
1,bearing,mse_trajectory,bias_wall_zone_alignment_zone,1.1620937128640862
1,bearing,mse_trajectory,bias_wall_zone_repulsion_alignment_domain,1.5026367693868443
1,bearing,mse_trajectory,bias_wall_zone_repulsion_alignment_zone,1.1983735331919882
1,bearing,mse_trajectory,bias_wall_zone_repulsion_zone,1.3674937660024409
2,orientation,cosine,bias_zero,19.216299999999986
2,orientation,cosine,bias_random,18.29699999999999
2,orientation,cosine,bias_wall,19.397200000000005
2,orientation,cosine,bias_positive,17.92699999999998
2,orientation,cosine,bias_negative,17.8722
2,orientation,cosine,bias_wall_zone_alignment_domain,19.12149999999999
2,orientation,cosine,bias_wall_zone_alignment_zone,18.774299999999986
2,orientation,cosine,bias_wall_zone_repulsion_alignment_domain,18.45689999999999
2,orientation,cosine,bias_wall_zone_repulsion_alignment_zone,18.141299999999994
2,orientation,cosine,bias_wall_zone_repulsion_zone,17.725099999999987
2,orientation,mse_kicktime,bias_zero,0.5193222900919191
2,orientation,mse_kicktime,bias_random,0.5158877159026094
2,orientation,mse_kicktime,bias_wall,0.5076169679134243
2,orientation,mse_kicktime,bias_positive,0.520800312644195
2,orientation,mse_kicktime,bias_negative,0.520468623594884
2,orientation,mse_kicktime,bias_wall_zone_alignment_domain,0.5150126669402347
2,orientation,mse_kicktime,bias_wall_zone_alignment_zone,0.5197093773229376
2,orientation,mse_kicktime,bias_wall_zone_repulsion_alignment_domain,0.5178878681796706
2,orientation,mse_kicktime,bias_wall_zone_repulsion_alignment_zone,0.5196198232914779
2,orientation,mse_kicktime,bias_wall_zone_repulsion_zone,0.5192844806122932
2,orientation,mse_trajectory,bias_zero,1.1094881259040859
2,orientation,mse_trajectory,bias_random,1.0798437035200656
2,orientation,mse_trajectory,bias_wall,1.4001231467955997
2,orientation,mse_trajectory,bias_positive,8.27098345505797
2,orientation,mse_trajectory,bias_negative,1.373399648404656
2,orientation,mse_trajectory,bias_wall_zone_alignment_domain,1.2377315619553868
2,orientation,mse_trajectory,bias_wall_zone_alignment_zone,1.2337243509155298
2,orientation,mse_trajectory,bias_wall_zone_repulsion_alignment_domain,1.1189474434360458
2,orientation,mse_trajectory,bias_wall_zone_repulsion_alignment_zone,1.1833413693471946
2,orientation,mse_trajectory,bias_wall_zone_repulsion_zone,1.1129858370960863
2,distance,cosine,bias_zero,15.726300000000005
2,distance,cosine,bias_random,15.3135
2,distance,cosine,bias_wall,16.8583
2,distance,cosine,bias_positive,15.652199999999997
2,distance,cosine,bias_negative,15.603399999999999
2,distance,cosine,bias_wall_zone_alignment_domain,15.784999999999991
2,distance,cosine,bias_wall_zone_alignment_zone,15.783399999999993
2,distance,cosine,bias_wall_zone_repulsion_alignment_domain,15.788399999999996
2,distance,cosine,bias_wall_zone_repulsion_alignment_zone,15.746699999999992
2,distance,cosine,bias_wall_zone_repulsion_zone,15.464299999999986
2,distance,mse_kicktime,bias_zero,0.43126302305190556
2,distance,mse_kicktime,bias_random,0.42540268673606374
2,distance,mse_kicktime,bias_wall,0.4163657625909278
2,distance,mse_kicktime,bias_positive,0.43395124291969844
2,distance,mse_kicktime,bias_negative,0.4328448874519026
2,distance,mse_kicktime,bias_wall_zone_alignment_domain,0.4220922963641922
2,distance,mse_kicktime,bias_wall_zone_alignment_zone,0.4272356789136681
2,distance,mse_kicktime,bias_wall_zone_repulsion_alignment_domain,0.4307041430390656
2,distance,mse_kicktime,bias_wall_zone_repulsion_alignment_zone,0.4319171486397998
2,distance,mse_kicktime,bias_wall_zone_repulsion_zone,0.43168599671064384
2,distance,mse_trajectory,bias_zero,1.0882254904662472
2,distance,mse_trajectory,bias_random,1.0597567201470532
2,distance,mse_trajectory,bias_wall,1.213276440827168
2,distance,mse_trajectory,bias_positive,2.793553232098373
2,distance,mse_trajectory,bias_negative,7.559927401119646
2,distance,mse_trajectory,bias_wall_zone_alignment_domain,1.0914188892372187
2,distance,mse_trajectory,bias_wall_zone_alignment_zone,1.1942272850300433
2,distance,mse_trajectory,bias_wall_zone_repulsion_alignment_domain,1.2435005702085127
2,distance,mse_trajectory,bias_wall_zone_repulsion_alignment_zone,1.29296200644863
2,distance,mse_trajectory,bias_wall_zone_repulsion_zone,1.3430559182237554
2,bearing,cosine,bias_zero,18.245700000000014
2,bearing,cosine,bias_random,18.70219999999999
2,bearing,cosine,bias_wall,18.678299999999993
2,bearing,cosine,bias_positive,17.13849999999999
2,bearing,cosine,bias_negative,17.57169999999999
2,bearing,cosine,bias_wall_zone_alignment_domain,18.7929
2,bearing,cosine,bias_wall_zone_alignment_zone,18.613700000000023
2,bearing,cosine,bias_wall_zone_repulsion_alignment_domain,18.55580000000001
2,bearing,cosine,bias_wall_zone_repulsion_alignment_zone,18.635899999999992
2,bearing,cosine,bias_wall_zone_repulsion_zone,18.08369999999999
2,bearing,mse_kicktime,bias_zero,0.5308721679749053
2,bearing,mse_kicktime,bias_random,0.5252034866492727
2,bearing,mse_kicktime,bias_wall,0.5025743515861235
2,bearing,mse_kicktime,bias_positive,0.5312257773773285
2,bearing,mse_kicktime,bias_negative,0.5309466256272314
2,bearing,mse_kicktime,bias_wall_zone_alignment_domain,0.5137983954680642
2,bearing,mse_kicktime,bias_wall_zone_alignment_zone,0.5266188107829011
2,bearing,mse_kicktime,bias_wall_zone_repulsion_alignment_domain,0.5230518217534139
2,bearing,mse_kicktime,bias_wall_zone_repulsion_alignment_zone,0.529058671311057
2,bearing,mse_kicktime,bias_wall_zone_repulsion_zone,0.53039110950663
2,bearing,mse_trajectory,bias_zero,1.1235685059990637
2,bearing,mse_trajectory,bias_random,1.0969025160755863
2,bearing,mse_trajectory,bias_wall,1.2527232042008412
2,bearing,mse_trajectory,bias_positive,4.780834981773516
2,bearing,mse_trajectory,bias_negative,9.78065831963268
2,bearing,mse_trajectory,bias_wall_zone_alignment_domain,1.131189904124024
2,bearing,mse_trajectory,bias_wall_zone_alignment_zone,1.172376814876546
2,bearing,mse_trajectory,bias_wall_zone_repulsion_alignment_domain,2.0611893705996187
2,bearing,mse_trajectory,bias_wall_zone_repulsion_alignment_zone,2.0818306691202384
2,bearing,mse_trajectory,bias_wall_zone_repulsion_zone,1.624924688899452
3,orientation,cosine,bias_zero,19.21620000000001
3,orientation,cosine,bias_random,18.58129999999999
3,orientation,cosine,bias_wall,19.239799999999985
3,orientation,cosine,bias_positive,17.807299999999994
3,orientation,cosine,bias_negative,18.303899999999985
3,orientation,cosine,bias_wall_zone_alignment_domain,19.007800000000007
3,orientation,cosine,bias_wall_zone_alignment_zone,19.06810000000001
3,orientation,cosine,bias_wall_zone_repulsion_alignment_domain,18.342500000000015
3,orientation,cosine,bias_wall_zone_repulsion_alignment_zone,17.788299999999996
3,orientation,cosine,bias_wall_zone_repulsion_zone,17.71009999999999
3,orientation,mse_kicktime,bias_zero,0.5193273875105423
3,orientation,mse_kicktime,bias_random,0.511629032282253
3,orientation,mse_kicktime,bias_wall,0.5075897746009802
3,orientation,mse_kicktime,bias_positive,0.5200959399962609
3,orientation,mse_kicktime,bias_negative,0.519695329422343
3,orientation,mse_kicktime,bias_wall_zone_alignment_domain,0.5154738674130837
3,orientation,mse_kicktime,bias_wall_zone_alignment_zone,0.5194328096183188
3,orientation,mse_kicktime,bias_wall_zone_repulsion_alignment_domain,0.5181876166066465
3,orientation,mse_kicktime,bias_wall_zone_repulsion_alignment_zone,0.5203029825802101
3,orientation,mse_kicktime,bias_wall_zone_repulsion_zone,0.5191780958043458
3,orientation,mse_trajectory,bias_zero,1.1095376154040721
3,orientation,mse_trajectory,bias_random,1.0756625539509503
3,orientation,mse_trajectory,bias_wall,1.5268480724777747
3,orientation,mse_trajectory,bias_positive,14.588801153526934
3,orientation,mse_trajectory,bias_negative,6.102429272290012
3,orientation,mse_trajectory,bias_wall_zone_alignment_domain,1.1872331738983501
3,orientation,mse_trajectory,bias_wall_zone_alignment_zone,1.1081997448387664
3,orientation,mse_trajectory,bias_wall_zone_repulsion_alignment_domain,1.2533410168189418
3,orientation,mse_trajectory,bias_wall_zone_repulsion_alignment_zone,1.9154889842478153
3,orientation,mse_trajectory,bias_wall_zone_repulsion_zone,1.1105652518662656
3,distance,cosine,bias_zero,15.7255
3,distance,cosine,bias_random,15.107699999999996
3,distance,cosine,bias_wall,15.828999999999992
3,distance,cosine,bias_positive,15.555599999999997
3,distance,cosine,bias_negative,15.622699999999982
3,distance,cosine,bias_wall_zone_alignment_domain,15.857399999999997
3,distance,cosine,bias_wall_zone_alignment_zone,15.685800000000002
3,distance,cosine,bias_wall_zone_repulsion_alignment_domain,16.08809999999999
3,distance,cosine,bias_wall_zone_repulsion_alignment_zone,15.911399999999993
3,distance,cosine,bias_wall_zone_repulsion_zone,15.52349999999999
3,distance,mse_kicktime,bias_zero,0.43130098975851
3,distance,mse_kicktime,bias_random,0.42934918765695945
3,distance,mse_kicktime,bias_wall,0.41686734226659417
3,distance,mse_kicktime,bias_positive,0.43462238052468743
3,distance,mse_kicktime,bias_negative,0.43362234058279786
3,distance,mse_kicktime,bias_wall_zone_alignment_domain,0.42312272880801355
3,distance,mse_kicktime,bias_wall_zone_alignment_zone,0.42771100594600614
3,distance,mse_kicktime,bias_wall_zone_repulsion_alignment_domain,0.43046155581658974
3,distance,mse_kicktime,bias_wall_zone_repulsion_alignment_zone,0.4311032741149409
3,distance,mse_kicktime,bias_wall_zone_repulsion_zone,0.43077672115543475
3,distance,mse_trajectory,bias_zero,1.0885676434250495
3,distance,mse_trajectory,bias_random,1.0600831153511616
3,distance,mse_trajectory,bias_wall,1.0921320977143447
3,distance,mse_trajectory,bias_positive,4.472073582461317
3,distance,mse_trajectory,bias_negative,5.015813225219364
3,distance,mse_trajectory,bias_wall_zone_alignment_domain,1.072705524581956
3,distance,mse_trajectory,bias_wall_zone_alignment_zone,1.2666891032432406
3,distance,mse_trajectory,bias_wall_zone_repulsion_alignment_domain,1.1070106305834804
