Kick_Time,x,y,vx,vy,vector_x,vector_y,x_wall,y_wall,tangent_x,tangent_y,radius_x,radius_y,wall_distance
0.8,-0.0762,0.2032,0.0,0.0,,,-0.08778086039709793,0.2340822943922611,-0.9363291775690445,-0.35112344158839176,-0.35112344158839176,0.9363291775690444,0.03298230486893469
1.28,-0.1595,0.127,-0.0833,-0.0762,,,-0.19557556861608857,0.15572474742472256,-0.6228989896988902,-0.7823022744643543,-0.7823022744643543,0.6228989896988901,0.046114615531176434
2.2,-0.2053,0.0475,-0.0458,-0.0795,,,-0.24356576694829438,0.05635350185116406,-0.22541400740465625,-0.9742630677931775,-0.9742630677931775,0.22541400740465622,0.03927662683033947
3.32,-0.1582,-0.1152,0.0471,-0.1627,,,-0.20209559750441405,-0.14716443004114094,0.5886577201645639,-0.8083823900176563,-0.8083823900176563,-0.5886577201645637,0.05430053653624903
3.68,-0.0445,-0.1482,0.1137,-0.033,,,-0.0718962589608837,-0.23943877703377445,0.9577551081350978,-0.2875850358435348,-0.28758503584353484,-0.9577551081350977,0.09526315887934123
4.08,0.0366,-0.1543,0.0811,-0.0061,,,0.05769908637909691,-0.243250519898761,0.973002079595044,0.23079634551638764,0.2307963455163876,-0.9730020795950439,0.09141863287258495
5.08,0.2027,-0.0567,0.1661,0.0976,,,0.24075826707913944,-0.06734580041138237,0.26938320164552954,0.9630330683165579,0.963033068316558,-0.2693832016455295,0.039519169518932196
5.64,0.2002,0.0227,-0.0025,0.0794,,,0.24840826627160048,0.02816617204977688,-0.11266468819910753,0.993633065086402,0.9936330650864018,0.1126646881991075,0.048517171947582594
7.72,0.0483,0.2022,-0.1519,0.1795,,,0.0580839527487892,0.24315890778064542,-0.9726356311225817,0.2323358109951568,0.23233581099515693,0.9726356311225818,0.042111255715947926
8.84,-0.1271,0.1635,-0.1754,-0.0387,,,-0.15343500323078477,0.1973770497894045,-0.789508199157618,-0.6137400129231391,-0.613740012923139,0.7895081991576182,0.042909053795198465
10.4,-0.2037,0.0605,-0.0766,-0.103,,,-0.23965318871635766,0.0711782911995073,-0.2847131647980293,-0.9586127548654307,-0.9586127548654307,0.2847131647980292,0.03750543536363102
11.0,-0.203,0.059,0.0007,-0.0015,,,-0.24006611772932265,0.06977291106418737,-0.2790916442567495,-0.9602644709172906,-0.9602644709172905,0.2790916442567496,0.0385999053926418
11.56,-0.2022,0.0585,0.0008,-0.0005,,,-0.24015108119393314,0.06947991221486197,-0.2779196488594479,-0.9606043247757327,-0.9606043247757325,0.27791964885944787,0.039507506072069154
12.16,-0.2029,0.0344,-0.0007,-0.0241,,,-0.2464826037095834,0.04178906637560211,-0.16715626550240845,-0.9859304148383335,-0.9859304148383334,0.1671562655024084,0.044204543296019305
12.68,-0.1495,-0.0592,0.0534,-0.0936,,,-0.23243945802576046,-0.09204291582023426,0.3681716632809371,-0.929757832103042,-0.929757832103042,-0.36817166328093714,0.08920544163436375
13.92,-0.0146,-0.0942,0.1349,-0.035,,,-0.038290177516404844,-0.24705032342776279,0.9882012937110513,-0.1531607100656194,-0.15316071006561938,-0.9882012937110513,0.1546752917654609
14.64,0.118,-0.0034,0.1326,0.0908,,,0.24989628692402927,-0.007200401487641521,0.02880160595056609,0.9995851476961172,0.9995851476961172,-0.02880160595056609,0.13195102711162626
15.48,0.1446,0.1356,0.0266,0.139,,,0.18236070210240146,0.1710104509342022,-0.6840418037368089,0.729442808409606,0.7294428084096058,0.6840418037368089,0.05176650131725968
16.84,-0.073,0.2189,-0.2176,0.0833,,,-0.07908944327277195,0.2371599881152025,-0.94863995246081,-0.3163577730910878,-0.3163577730910878,0.9486399524608101,0.019248596970679294
17.4,-0.0823,0.2136,-0.0093,-0.0053,,,-0.08988380576386511,0.23328287862893787,-0.9331315145157516,-0.3595352230554605,-0.3595352230554607,0.9331315145157515,0.021093359641971038
17.92,-0.131,0.1896,-0.0487,-0.024,,,-0.14211063763893586,0.2056807396667346,-0.8227229586669386,-0.5684425505557436,-0.5684425505557439,0.8227229586669381,0.019545752913946057
19.04,-0.2374,0.0392,-0.1064,-0.1504,,,-0.2466599810957235,0.04072902804950447,-0.16291611219801788,-0.986639924382894,-0.9866399243828942,0.16291611219801785,0.009385370353338668
20.08,-0.1905,-0.102,0.0469,-0.1412,,,-0.22039578605427196,-0.11800719253299599,0.47202877013198397,-0.8815831442170878,-0.8815831442170879,-0.4720287701319838,0.033911476473182406
21.24,-0.0402,-0.174,0.1503,-0.072,,,-0.05627621908542333,-0.2435836348473547,0.9743345393894188,-0.22510487634169332,-0.2251048763416933,-0.9743345393894188,0.07141657411730506
22.88,0.1838,-0.0732,0.224,0.1008,,,0.23225834789432012,-0.09249897206672597,0.36999588826690394,0.9290333915772806,0.9290333915772806,-0.3699958882669039,0.05215996360695846
23.44,0.2168,-0.0347,0.033,0.0385,,,0.24685802599278253,-0.03951094788722119,0.15804379154888476,0.9874321039711301,0.9874321039711301,-0.15804379154888468,0.030440600292312714
25.16,0.2052,0.08,-0.0116,0.1147,,,0.23292439609775534,0.09080873142212684,-0.3632349256885074,0.9316975843910215,0.9316975843910215,0.36323492568850724,0.029756861627881798
25.88,0.1982,0.0514,-0.007,-0.0286,,,0.24199482973726957,0.06275748864024046,-0.25102995456096183,0.9679793189490783,0.9679793189490782,0.25102995456096194,0.04524355931985927
27.2,0.1721,0.1336,-0.0261,0.0822,,,0.19748007985898297,0.153302374602906,-0.613209498411624,0.7899203194359319,0.7899203194359319,0.6132094984116236,0.03212992403728318
